	DMSO.1	DMSO.2	DMSO.3	SP600125.1	SP600125.2	SP600125.3
RP1-120G22.11	5.5377166840698	5.72175380211199	5.57719830672864	5.24611533220046	5.33451234128816	5.25272529585174
RNF207	8.82186366315213	8.83744393032103	8.75304989015385	8.28105226936976	7.76400614650722	7.98549350539681
ICMT	12.4759614141348	12.5157138898085	12.5889047278437	12.6122927245432	12.6147526881459	12.6032965124551
LINC00337	6.44901184655553	6.44121985632433	6.73702421951849	6.80702322933581	7.1171626401248	6.72746994982365
HES3	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
GPR153	8.37382313040134	8.3017220115413	8.26510670415983	8.40149252213359	8.39182030540354	8.34497049953747
ACOT7	10.9240498705124	10.9167810747638	10.9175809307256	10.9254911811264	11.0594177224055	10.968364126874
RP1-202O8.3	5.62953279377996	5.29024088456287	4.73636827958541	4.73636827958541	5.71644269287014	5.19870020463124
HES2	9.8513218194169	9.82281867153757	9.92255573282246	11.860842620632	11.93158675463	11.8633718999592
ESPN	7.99513801760033	8.01892178126715	7.76613903483753	9.59239472426136	9.49279700812333	9.44782722955158
RP1-202O8.2	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
TNFRSF25	6.42965182018995	5.85685622968509	6.22623471099564	6.43588076811393	6.18130670382894	5.9892200702387
PLEKHG5	7.38532843709324	7.59102561374253	7.36548657816992	7.84978400076678	7.83276111694024	7.64555402701443
NOL9	11.3118220429621	11.3632056853402	11.5403996198652	10.7665298227482	10.7229265802438	10.6961637246119
TAS1R1	5.37289009032804	5.01457718842431	4.73636827958541	5.0316882792222	4.73636827958541	4.96827492553327
ZBTB48	8.28819515944361	8.48613289579341	8.13192083444508	8.30699844971778	8.44118187264442	8.46325330572104
KLHL21	10.8476493442849	10.9085939623908	10.764613957989	10.4138044236438	10.5878141278797	10.4449539083387
PHF13	10.0921524432326	10.1604471794527	10.1486369862559	10.1289109929781	10.1344737945622	10.1182958025892
THAP3	7.78762460387253	7.75538718684667	7.71653219274328	6.93795993180057	6.70900694736252	7.35980149499624
DNAJC11	11.6833994381353	11.7376310573561	11.773202977158	11.3390741762604	11.1971831836639	11.2920497029452
RP11-242F24.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-312B8.1	5.23099856814777	5.29024088456287	5.30127328691047	5.4536060332645	5.57642527049139	5.34604946772661
CAMTA1	8.91335704352632	8.88692560762223	8.97168921332872	9.34843556215356	9.35088101590163	9.16811889799304
RP11-334N17.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
CAMTA1-IT1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP3-453P22.2	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP4-549F15.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-338N10.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
